rms,zcr,centroid,rolloff,dominant_freq,band_0_500,band_500_1500,band_1500_3000,band_3000_6000,activity,filename
0.0787401795387268,0.1331958247390462,823.3071661337602,841.0,599.0,86100.74194136135,280915.355759081,152.69513597085603,216.81763435866907,får,får_C_0.75m_nygaard_001_s01.wav
0.04895329847931862,0.1610725670354397,909.7076570156974,926.0,599.0,39520.859509772665,95837.73126594376,229.3054264903569,105.25529799844003,får,får_C_0.75m_nygaard_001_s02.wav
0.04306768253445625,0.13100818801175074,896.3210224283254,862.0,568.0,19095.84818544226,92720.67807424873,40.94883414331903,60.10955530462259,får,får_C_0.75m_nygaard_001_s03.wav
0.04296468198299408,0.1435089693105819,879.621109331526,872.0,572.0,25688.483131557365,82866.58337141016,43.040182455392745,56.34754967637507,får,får_C_0.75m_nygaard_001_s04.wav
0.041635408997535706,0.1683230201887618,955.1456435704605,890.0,437.0,39994.78750470598,59200.341424556325,65.70719788023683,108.07105014698564,får,får_C_0.75m_nygaard_001_s05.wav
0.042810942977666855,0.15494718419901243,929.0756701698659,922.0,301.0,33421.33254801086,80280.38786293764,59.29190254346059,138.19738304019805,får,får_C_0.75m_nygaard_001_s06.wav
0.044703591614961624,0.12125757859866242,930.911261416573,1013.0,288.0,48363.347582904644,73352.37750460603,188.44396549731337,208.99077471569586,får,får_C_0.75m_nygaard_001_s07.wav
0.0479963943362236,0.14388399274954686,889.7455206059875,900.0,301.0,52146.50160754034,87256.69949524618,76.30732240382935,142.64999387496638,får,får_C_0.75m_nygaard_001_s08.wav
0.05243862047791481,0.15094693418338645,885.566659944519,886.0,598.0,40163.812248522234,127112.2202126978,103.94443903758687,177.3677227834553,får,får_C_0.75m_nygaard_001_s09.wav
0.05314645171165466,0.1488843052690793,864.3109710294792,876.0,527.0,44749.07609777965,137377.02639559697,113.93961922243128,172.42721132846347,får,får_C_0.75m_nygaard_001_s10.wav
0.07855486124753952,0.20395024689043065,807.9847568362078,831.0,599.0,85808.02285909836,280037.52956176945,130.15994066999318,206.37271298831106,får,får_C_0.75m_stille_001_s01.wav
0.04873688891530037,0.1986374148384274,843.1626366579134,870.0,599.0,39094.06118418742,95401.6895507746,50.99531513867178,79.06037482159586,får,får_C_0.75m_stille_001_s02.wav
0.04277787357568741,0.20420026251640727,868.6173763818406,856.0,568.0,18256.646991742502,92433.62330983045,31.141849899456105,49.08345526291047,får,får_C_0.75m_stille_001_s03.wav
0.042888566851615906,0.19151196949809363,864.9998825832457,869.0,572.0,25388.52980618577,83150.16186529056,31.378947072812444,52.47811256884346,får,får_C_0.75m_stille_001_s04.wav
0.04140165075659752,0.22932683292705794,927.4699642186552,876.0,437.0,39628.9954749856,58889.251424305985,26.64054966371699,97.86160965692605,får,får_C_0.75m_stille_001_s05.wav
0.042655639350414276,0.2400150009375586,911.0431823642666,909.0,301.0,33008.816960613345,80421.72273181453,35.515310926581286,131.3435695193753,får,får_C_0.75m_stille_001_s06.wav
0.04431562125682831,0.19882492655790987,873.6713050603042,871.0,288.0,46337.22833741513,74015.84941021237,35.493494632050584,176.32044724767698,får,får_C_0.75m_stille_001_s07.wav
0.04781719297170639,0.22638914932183263,857.743857777673,877.0,301.0,51492.27295689038,87519.86081642612,28.22325979667343,132.74058561941712,får,får_C_0.75m_stille_001_s08.wav
0.05230712890625,0.21676354772173262,858.7725677004736,882.0,598.0,39693.018353981555,127031.81879120362,86.22642808084262,166.18591104685206,får,får_C_0.75m_stille_001_s09.wav
0.05300064757466316,0.20757547346709168,856.3080689780297,875.0,527.0,44524.121349660854,137131.48470222854,110.94030811461731,166.29559599252443,får,får_C_0.75m_stille_001_s10.wav
0.07853244990110397,0.1758234889680605,814.2250774299267,833.0,599.0,85619.8088680016,279937.9294651367,133.42739342268976,210.99662983029066,får,får_C_0.75m_tmlKlasse_001_s01.wav
0.048873499035835266,0.1626351646977936,889.78658636522,905.0,599.0,39062.76563964632,95495.13743879915,142.1552720871527,94.16580504368254,får,får_C_0.75m_tmlKlasse_001_s02.wav
0.042802415788173676,0.16301018813675855,884.5317449740842,860.0,569.0,18311.02424901997,92326.83365367904,40.21472435850437,52.41439350775756,får,får_C_0.75m_tmlKlasse_001_s03.wav
0.0432024821639061,0.10713169573098319,881.3991272717946,873.0,572.0,26271.009127971767,83747.99827697739,47.52998514257503,58.13395817416435,får,får_C_0.75m_tmlKlasse_001_s04.wav
0.0419311597943306,0.13100818801175074,932.8915462754824,878.0,437.0,40344.46624249567,60707.63695997713,34.322648439502814,101.54471989523641,får,får_C_0.75m_tmlKlasse_001_s05.wav
0.04299764335155487,0.18201137571098194,939.7349667136364,923.0,301.0,34101.32884264075,81575.07342901091,56.64614057873064,138.43787178181978,får,får_C_0.75m_tmlKlasse_001_s06.wav
0.044935546815395355,0.09850615663478968,883.6687881370966,888.0,288.0,49202.35705980736,74479.94376241697,58.895662088834335,183.37361138160392,får,får_C_0.75m_tmlKlasse_001_s07.wav
0.048221562057733536,0.16176011000687543,875.0510050598921,889.0,301.0,53655.29333216546,87766.42198445217,72.70119047338268,146.3175501184045,får,får_C_0.75m_tmlKlasse_001_s08.wav
0.05368233099579811,0.09519344959059942,907.0730891478402,1009.0,598.0,45182.16006093588,127504.43733254864,232.8385652527065,215.79398824579033,får,får_C_0.75m_tmlKlasse_001_s09.wav
0.05319632217288017,0.14019626226639165,906.019043808893,960.0,527.0,45702.725025293636,137329.6075834705,300.6146769645137,199.85472239081844,får,får_C_0.75m_tmlKlasse_001_s10.wav
0.1162622794508934,0.12575785986624163,843.6079447645059,829.0,806.0,191593.70480099734,637053.5919603005,102.19879679023236,1013.8722307270077,får,får_C_1.5m_nygaard_001_s01.wav
0.08502086997032166,0.12788299268704295,805.0822894377912,846.0,457.0,192225.6209404024,262943.3118126479,68.31461511797607,230.72258489756157,får,får_C_1.5m_nygaard_001_s02.wav
0.08613178879022598,0.11919494968435528,857.1032344464385,889.0,453.0,198260.06342108824,229328.00242130214,182.54572333548822,443.8275967944048,får,får_C_1.5m_nygaard_001_s03.wav
